date,year,coach,opposition,tournament,test,h / a,wales irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
17/10/2015,2015,wg,sa,wc,yes,n,4,5,1,,l,19,23,-4,"jenkins, g",baldwin,lee,charteris,"jones, a",lydiate,warburton,faletau,"davies, ga",biggar,north,"roberts, ja","morgan, t",cuthbert,anscombe,owens,"james, p",francis,"davies, br",tipuric,"williams, ll",priestland,hook
07/02/2016,2016,wg,ireland,6n,yes,a,4,6,2,,d,16,16,0,"evans, r",baldwin,lee,charteris,"jones, a",warburton,tipuric,faletau,"davies, ga",biggar,"james, t","roberts, ja","davies, jo",north,"williams, li",owens,"jenkins, g",francis,"davies, br",lydiate,"williams, ll",priestland,cuthbert
13/02/2016,2016,wg,scotland,6n,yes,h,4,11,7,,w,27,23,4,"evans, r",baldwin,lee,charteris,"jones, a",warburton,tipuric,faletau,"davies, ga",biggar,"james, t","roberts, ja","davies, jo",north,"williams, li",owens,"jenkins, g",francis,"davies, br",lydiate,"williams, ll",priestland,anscombe
26/02/2016,2016,wg,france,6n,yes,h,4,7,3,,w,19,10,9,"evans, r",baldwin,lee,"davies, br","jones, a",lydiate,warburton,faletau,"davies, ga",biggar,north,"roberts, ja","davies, jo",cuthbert,"williams, li",owens,"jenkins, g",francis,ball,tipuric,"williams, ll",priestland,anscombe
12/03/2016,2016,wg,england,6n,yes,a,4,6,2,,l,21,25,-4,"evans, r",baldwin,lee,"davies, br","jones, a",lydiate,warburton,faletau,"davies, ga",biggar,north,"roberts, ja","davies, jo",cuthbert,"williams, li",owens,"james, p",francis,charteris,tipuric,webb,priestland,anscombe
19/03/2016,2016,wg,italy,6n,yes,h,4,14,10,,w,67,14,53,"evans, r",baldwin,lee,"davies, br",charteris,lydiate,tipuric,faletau,webb,biggar,amos,"roberts, ja","davies, jo",north,"williams, li",owens,"jenkins, g",jarvis,ball,moriarty,"davies, ga",priestland,anscombe
29/05/2016,2016,wg,england,friendly,yes,a,5,4,-1,,l,13,27,-14,"evans, r",baldwin,lee,ball,"jones, a",moriarty,lydiate,faletau,webb,biggar,amos,"roberts, ja","williams, sc",north,"williams, li",dacey,"jenkins, g","jones, r",turnbull,king,"williams, ll",priestland,anscombe
11/06/2016,2016,wg,nz,tour,yes,a,6,1,-5,,l,21,39,-18,"jenkins, g",owens,lee,"davies, br","jones, a",moriarty,warburton,faletau,webb,biggar,amos,"roberts, ja","davies, jo",north,"williams, li",baldwin,"evans, r",francis,ball,"jenkins, e","davies, ga",anscombe,"williams, sc"
18/06/2016,2016,wg,nz,tour,yes,a,6,1,-5,,l,22,36,-14,"jenkins, g",owens,lee,charteris,"jones, a",moriarty,warburton,faletau,webb,biggar,amos,"roberts, ja","davies, jo","williams, li",patchell,baldwin,"evans, r",francis,"davies, br","jenkins, e","davies, ga",priestland,"williams, sc"
25/06/2016,2016,wg,nz,tour,yes,a,6,1,-5,,l,6,46,-40,"evans, r",owens,francis,charteris,"jones, a",moriarty,warburton,faletau,webb,biggar,amos,"roberts, ja","davies, jo","williams, li",patchell,baldwin,jarvis,lee,ball,"jenkins, e","davies, ga",priestland,"williams, sc"
