date,year,coach,opposition,tournament,test,h / a,scotland irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
23/10/2020,2020,gt,georgia,friendly,yes,h,8,12,4,,w,48,7,41,sutherland,"brown, f","fagerson, z",toolis,cummings,ritchie,watson,"fagerson, m",price,hastings,van der merwe,lang,harris,"graham, d",kinghorn,mcinally,kebble,berghan,harley,haining,du preez,"horne, g",russell
31/10/2020,2020,gt,wales,6n,yes,a,8,7,-1,,w,14,10,4,sutherland,"brown, f","fagerson, z",cummings,"gray, j",ritchie,watson,thomson,price,russell,kinghorn,lang,harris,"graham, d",hogg,mcinally,kebble,berghan,toolis,du preez,steele,hastings,van der merwe
14/11/2020,2020,gt,italy,tour,yes,a,7,14,7,,w,28,17,11,sutherland,mcinally,"fagerson, z",cummings,"gray, j",ritchie,watson,thomson,price,weir,van der merwe,"johnson, s",harris,"graham, d",hogg,turner,kebble,nel,skinner,haining,hidalgo-clyne,lang,kinghorn
22/11/2020,2020,gt,france,eoyt,yes,h,7,4,-3,,l,15,22,-7,kebble,"brown, f",berghan,cummings,"gray, j",ritchie,watson,"fagerson, m",price,weir,van der merwe,"johnson, s",harris,kinghorn,hogg,turner,bhatti,"fagerson, z",skinner,thomson,hidalgo-clyne,taylor,maitland
05/12/2020,2020,gt,ireland,tour,yes,a,7,5,-2,,l,16,31,-15,sutherland,"brown, f","fagerson, z",cummings,"gray, j",thomson,ritchie,"fagerson, m",price,van der walt,van der merwe,taylor,harris,"graham, d",hogg,turner,kebble,nel,skinner,cowan,hidalgo-clyne,jones,maitland
06/02/2021,2021,gt,england,6n,yes,a,7,2,-5,,w,11,6,5,sutherland,turner,"fagerson, z",cummings,"gray, j",ritchie,watson,"fagerson, m",price,russell,van der merwe,redpath,harris,maitland,hogg,cherry,kebble,nel,"gray, r","graham, g",steele,van der walt,jones
13/02/2021,2021,gt,wales,6n,yes,h,7,8,1,,l,24,25,-1,sutherland,turner,"fagerson, z",cummings,"gray, j",thomson,watson,"fagerson, m",price,russell,van der merwe,lang,harris,"graham, d",hogg,cherry,kebble,nel,"gray, r","graham, g",steele,van der walt,jones
14/03/2021,2021,gt,ireland,6n,yes,h,8,7,-1,,l,24,27,-3,sutherland,turner,nel,cummings,"gray, j",ritchie,watson,"fagerson, m",price,russell,van der merwe,"johnson, s",harris,maitland,hogg,cherry,bhatti,berghan,gilchrist,haining,steele,jones,"graham, d"
20/03/2021,2021,gt,italy,6n,yes,h,9,15,6,,w,52,10,42,sutherland,cherry,"fagerson, z",skinner,gilchrist,ritchie,watson,"fagerson, m",steele,hogg,van der merwe,"johnson, s",jones,"graham, d",maitland,turner,bhatti,berghan,craig,haining,price,van der walt,harris
26/03/2021,2021,gt,france,6n,yes,a,9,3,-6,,w,27,23,4,sutherland,turner,"fagerson, z",skinner,gilchrist,ritchie,watson,haining,price,russell,van der merwe,"johnson, s",harris,"graham, d",hogg,cherry,kebble,berghan,craig,wilson,steele,hastings,jones
30/10/2021,2021,gt,tonga,eoyt,yes,h,7,15,8,,w,60,14,46,schoeman,turner,"fagerson, z",hodgson,harley,ritchie,watson,"fagerson, m",price,kinghorn,mclean,"johnson, s",tuipulotu,steyn,"graham, d",mcinally,bhatti,kebble,sykes,crosbie,haining,dobie,thompson
07/11/2021,2021,gt,australia,eoyt,yes,h,7,3,-4,,w,15,13,2,schoeman,turner,"fagerson, z",skinner,gilchrist,ritchie,watson,"fagerson, m",price,russell,van der merwe,"johnson, s",harris,"graham, d",hogg,ashman,bhatti,kebble,hodgson,bayliss,"horne, g",hastings,steyn
13/11/2021,2021,gt,sa,eoyt,yes,h,7,2,-5,,l,15,30,-15,schoeman,mcinally,"fagerson, z",skinner,gilchrist,haining,ritchie,"fagerson, m",price,russell,van der merwe,scott,harris,mclean,hogg,ashman,bhatti,kebble,hodgson,watson,"horne, g",hastings,kinghorn
20/11/2021,2021,gt,japan,eoyt,yes,h,7,10,3,,w,29,20,9,bhatti,turner,"fagerson, z",cummings,gilchrist,ritchie,watson,bayliss,price,russell,van der merwe,"johnson, s",harris,"graham, d",hogg,mcinally,schoeman,sebastian,skinner,"richardson, d","fagerson, m","horne, g",kinghorn
05/02/2022,2022,gt,england,6n,yes,h,7,3,-4,,w,20,17,3,sutherland,turner,"fagerson, z","gray, j",gilchrist,ritchie,watson,"fagerson, m",price,russell,van der merwe,"johnson, s",harris,"graham, d",hogg,mcinally,schoeman,nel,skinner,bradbury,white,kinghorn,tuipulotu
12/02/2022,2022,gt,wales,6n,yes,a,6,8,2,,l,17,20,-3,schoeman,mcinally,nel,"gray, j",gilchrist,skinner,watson,"fagerson, m",price,russell,van der merwe,tuipulotu,harris,"graham, d",hogg,turner,sutherland,"fagerson, z",bradbury,darge,white,kinghorn,redpath
26/02/2022,2022,gt,france,6n,yes,h,7,4,-3,,l,17,36,-19,schoeman,mcinally,"fagerson, z",skinner,gilchrist,darge,haining,bradbury,price,russell,van der merwe,tuipulotu,harris,"graham, d",hogg,turner,kebble,nel,hodgson,christie,white,kinghorn,bennett
12/03/2022,2022,gt,italy,6n,yes,a,8,14,6,,w,33,22,11,schoeman,turner,"fagerson, z",skinner,gilchrist,darge,watson,"fagerson, m",price,russell,steyn,"johnson, s",harris,"graham, d",hogg,mcinally,dell,nel,hodgson,bradbury,vellacott,hastings,tuipulotu
19/03/2022,2022,gt,ireland,6n,yes,a,7,4,-3,,l,5,26,-21,schoeman,turner,"fagerson, z","gray, j",gilchrist,darge,watson,"fagerson, m",price,kinghorn,steyn,"johnson, s",harris,"graham, d",hogg,"brown, f",dell,nel,skinner,bayliss,white,russell,bennett
02/07/2022,2022,gt,argentina,tour,yes,a,7,8,1,,l,18,26,-8,schoeman,turner,"fagerson, z",gilchrist,"gray, j",bradbury,crosbie,"fagerson, m",price,kinghorn,van der merwe,"johnson, s",bennett,"graham, d",hutchinson,ashman,sutherland,sebastian,skinner,darge,white,thompson,tuipulotu
09/07/2022,2022,gt,argentina,tour,yes,a,8,7,-1,,w,29,6,23,schoeman,cherry,"fagerson, z",skinner,gilchrist,darge,watson,"fagerson, m",white,kinghorn,van der merwe,"johnson, s",bennett,"graham, d",hutchinson,turner,bhatti,sebastian,cummings,christie,price,thompson,rowe
