date,year,coach,opposition,tournament,test,h / a,argentina irb,opp irb,irb difference,higher / lower,result,points scored ,points conceded,difference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
06/11/2022,2022,mc,england,tour,yes,a,8,5,-3,,w,30,29,1,gallo,montoya,gomez kodela,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",boffelli,de la fuente,moroni,"carreras, m",mallia,ruiz,tetaz chaparro,bello,paulos,isa,morales,albornoz,orlando
12/11/2022,2022,mc,wales,tour,yes,a,6,9,3,,l,13,20,-7,gallo,creevy,gomez kodela,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",boffelli,de la fuente,moroni,"carreras, m",mallia,ruiz,tetaz chaparro,bello,paulos,isa,morales,albornoz,orlando
19/11/2022,2022,mc,scotland,tour,yes,a,6,9,3,,l,29,52,-23,gallo,montoya,bello,alemanno,lavanini,"gonzalez, ju",kremer,matera,bertranou,"carreras, s",boffelli,de la fuente,orlando,delguy,mallia,ruiz,tetaz chaparro,medrano,paulos,isa,bazan velez,sanchez,moroni
08/07/2023,2023,mc,nz,rc,yes,h,8,3,-5,,l,12,41,-29,gallo,montoya,sordoni,alemanno,lavanini,matera,"gonzalez, ju",bruni,bertranou,"carreras, s","carreras, m",cinti,moroni,cancelliere,boffelli,creevy,vivas,bello,rubiolo,"grondona, s",bazan velez,sanchez,orlando
15/07/2023,2023,mc,australia,rc,yes,a,8,7,-1,,w,34,31,3,gallo,montoya,gomez kodela,alemanno,lavanini,matera,"grondona, s","gonzalez, ju",bertranou,"carreras, s","carreras, m",de la fuente,cinti,isgro,boffelli,creevy,tetaz chaparro,bello,paulos,bruni,bazan velez,sanchez,moroni
29/07/2023,2023,mc,sa,rc,yes,a,7,4,-3,,l,21,22,-1,gallo,montoya,gomez kodela,paulos,lavanini,matera,"grondona, s","gonzalez, ju",bazan velez,"carreras, s",imhoff,chocobares,cinti,"carreras, m",mallia,ruiz,tetaz chaparro,sclavi,rubiolo,isa,bertranou,albornoz,moroni
05/08/2023,2023,mc,sa,rc,yes,h,7,4,-3,,l,13,24,-11,gallo,montoya,gomez kodela,rubiolo,lavanini,matera,"grondona, s","gonzalez, ju",bertranou,"carreras, s","cordero, s",chocobares,cinti,boffelli,bogado,creevy,sclavi,bello,petti,isa,bazan velez,albornoz,moroni
26/08/2023,2023,mc,spain,friendly,yes,a,7,20,13,,w,62,3,59,sclavi,creevy,bello,petti,rubiolo,bruni,kremer,isa,cubelli,sanchez,"carreras, m",chocobares,moroni,isgro,mallia,ruiz,vivas,sordoni,alemanno,"grondona, s",bazan velez,de la fuente,bogado
09/09/2023,2023,mc,england,wc,yes,n,6,8,2,,l,10,27,-17,gallo,montoya,gomez kodela,alemanno,lavanini,matera,kremer,"gonzalez, ju",bertranou,"carreras, s","carreras, m",chocobares,cinti,boffelli,mallia,creevy,sclavi,bello,petti,rubiolo,bruni,bazan velez,moroni
22/09/2023,2023,mc,samoa,wc,yes,n,10,11,1,,w,19,10,9,gallo,montoya,bello,petti,alemanno,matera,kremer,"gonzalez, ju",bertranou,"carreras, s","carreras, m",chocobares,moroni,boffelli,mallia,creevy,vivas,gomez kodela,rubiolo,bruni,cubelli,sanchez,cinti
