date,team,opposition,venue,city,country,kickoff_utc,gmt_offset
20/08/2016,south_africa,argentina,Mbombela Stadium,Mbombela,South Africa,2016-08-20T15:05:00+00:00,2.0
20/08/2016,argentina,south_africa,Mbombela Stadium,Mbombela,South Africa,2016-08-20T15:05:00+00:00,2.0
08/08/2015,wales,ireland,Millennium Stadium,Cardiff,Wales,2015-08-08T13:30:00+00:00,1.0
08/08/2015,ireland,wales,Millennium Stadium,Cardiff,Wales,2015-08-08T13:30:00+00:00,1.0
25/11/2017,england,samoa,Twickenham,London,England,2017-11-25T14:30:00+00:00,0.0
25/11/2017,samoa,england,Twickenham,London,England,2017-11-25T14:30:00+00:00,0.0
03/02/2018,wales,scotland,Principality Stadium,Cardiff,Wales,2018-02-03T14:15:00+00:00,0.0
03/02/2018,scotland,wales,Principality Stadium,Cardiff,Wales,2018-02-03T14:15:00+00:00,0.0
18/11/2017,ireland,fiji,Aviva Stadium,Dublin,Ireland,2017-11-18T17:30:00+00:00,0.0
18/11/2017,fiji,ireland,Aviva Stadium,Dublin,Ireland,2017-11-18T17:30:00+00:00,0.0
14/10/2023,ireland,new_zealand,Stade de France,Saint-Denis,France,2023-10-14T19:00:00+00:00,2.0
14/10/2023,new_zealand,ireland,Stade de France,Saint-Denis,France,2023-10-14T19:00:00+00:00,2.0
16/09/2023,ireland,tonga,Stade de la Beaujoire,Nantes,France,2023-09-16T19:00:00+00:00,2.0
16/09/2023,tonga,ireland,Stade de la Beaujoire,Nantes,France,2023-09-16T19:00:00+00:00,2.0
02/06/2019,england,barbarians,Twickenham,London,England,2019-06-02T14:30:00+00:00,1.0
02/06/2019,barbarians,england,Twickenham,London,England,2019-06-02T14:30:00+00:00,1.0
23/09/2023,south_africa,ireland,Stade de France,Saint-Denis,France,2023-09-23T19:00:00+00:00,2.0
23/09/2023,ireland,south_africa,Stade de France,Saint-Denis,France,2023-09-23T19:00:00+00:00,2.0
15/07/2023,australia,argentina,CommBank Stadium,Parramatta,Australia,2023-07-15T09:45:00+00:00,10.0
15/07/2023,argentina,australia,CommBank Stadium,Parramatta,Australia,2023-07-15T09:45:00+00:00,10.0
23/02/2019,france,scotland,Stade de France,Saint-Denis,France,2019-02-23T14:15:00+00:00,1.0
23/02/2019,scotland,france,Stade de France,Saint-Denis,France,2019-02-23T14:15:00+00:00,1.0
23/06/2018,australia,ireland,Allianz Stadium,Sydney,Australia,2018-06-23T10:00:00+00:00,10.0
23/06/2018,ireland,australia,Allianz Stadium,Sydney,Australia,2018-06-23T10:00:00+00:00,10.0
26/10/2024,japan,new_zealand,International Stadium Yokohama,"Kanagawa Prefecture, Yokohama City",Japan,2024-10-26T05:50:00+00:00,9.0
26/10/2024,new_zealand,japan,International Stadium Yokohama,"Kanagawa Prefecture, Yokohama City",Japan,2024-10-26T05:50:00+00:00,9.0
29/05/2016,england,wales,Twickenham,London,England,2016-05-29T14:00:00+00:00,1.0
29/05/2016,wales,england,Twickenham,London,England,2016-05-29T14:00:00+00:00,1.0
11/07/2026,argentina,wales,Estadio del Bicentenario,San Juan,Argentina,2026-07-11T19:10:00+00:00,-3.0
11/07/2026,wales,argentina,Estadio del Bicentenario,San Juan,Argentina,2026-07-11T19:10:00+00:00,-3.0
26/08/2023,spain,argentina,Estadio Cívitas Metropolitano,Madrid,Spain,2023-08-26T18:45:00+00:00,2.0
26/08/2023,argentina,spain,Estadio Cívitas Metropolitano,Madrid,Spain,2023-08-26T18:45:00+00:00,2.0
17/06/2017,argentina,england,Estadio Brigadier Estanislao López,Santa Fe,Argentina,2017-06-17T19:15:00+00:00,-3.0
17/06/2017,england,argentina,Estadio Brigadier Estanislao López,Santa Fe,Argentina,2017-06-17T19:15:00+00:00,-3.0
06/09/2019,japan,south_africa,Kumagaya Rugby Stadium,"Saitama Prefecture, Kumagaya City",Japan,2019-09-06T10:15:00+00:00,9.0
06/09/2019,south_africa,japan,Kumagaya Rugby Stadium,"Saitama Prefecture, Kumagaya City",Japan,2019-09-06T10:15:00+00:00,9.0
06/11/2021,france,argentina,Stade de France,Saint-Denis,France,2021-11-06T20:00:00+00:00,1.0
06/11/2021,argentina,france,Stade de France,Saint-Denis,France,2021-11-06T20:00:00+00:00,1.0
31/10/2020,italy,england,Stadio Olimpico,Roma,Italy,2020-10-31T16:45:00+00:00,1.0
31/10/2020,england,italy,Stadio Olimpico,Roma,Italy,2020-10-31T16:45:00+00:00,1.0
18/06/2016,usa,italy,Avaya Stadium,"San Jose, California",United States,2016-06-19T01:00:00+00:00,-7.0
18/06/2016,italy,usa,Avaya Stadium,"San Jose, California",United States,2016-06-19T01:00:00+00:00,-7.0
05/09/2015,wales,italy,Millennium Stadium,Cardiff,Wales,2015-09-05T16:00:00+00:00,1.0
05/09/2015,italy,wales,Millennium Stadium,Cardiff,Wales,2015-09-05T16:00:00+00:00,1.0
23/02/2018,france,italy,Stade Vélodrome,Marseille,France,2018-02-23T20:00:00+00:00,1.0
