player_name,slug,url,position,caps,age,height_cm,weight_kg,career_mins,avg_mins_per_game,england_wins,england_draws,england_losses,status
Matt Kvesic,matt-kvesic,https://www.englandrugby.com/follow/england-men/senior-men/matt-kvesic,,,,,,,,,,,not_found
Ollie Devoto,ollie-devoto,https://www.englandrugby.com/follow/england-men/senior-men/ollie-devoto,,,,,,,,,,,not_found
Kieran Brookes,kieran-brookes,https://www.englandrugby.com/follow/england-men/senior-men/kieran-brookes,,,,,,,,,,,not_found
Tom Youngs,tom-youngs,https://www.englandrugby.com/follow/england-men/senior-men/tom-youngs,,,,,,,,,,,not_found
Geoff Parling,geoff-parling,https://www.englandrugby.com/follow/england-men/senior-men/geoff-parling,,,,,,,,,,,not_found
Nick Easter,nick-easter,https://www.englandrugby.com/follow/england-men/senior-men/nick-easter,,,,,,,,,,,not_found
David Wilson,david-wilson,https://www.englandrugby.com/follow/england-men/senior-men/david-wilson,,,,,,,,,,,not_found
Ben Morgan,ben-morgan,https://www.englandrugby.com/follow/england-men/senior-men/ben-morgan,,,,,,,,,,,not_found
Brad Barritt,brad-barritt,https://www.englandrugby.com/follow/england-men/senior-men/brad-barritt,,,,,,,,,,,not_found
Rob Webber,rob-webber,https://www.englandrugby.com/follow/england-men/senior-men/rob-webber,,,,,,,,,,,not_found
Sam Burgess,sam-burgess,https://www.englandrugby.com/follow/england-men/senior-men/sam-burgess,,,,,,,,,,,not_found
Billy Twelvetrees,billy-twelvetrees,https://www.englandrugby.com/follow/england-men/senior-men/billy-twelvetrees,,,,,,,,,,,not_found
Calum Clark,calum-clark,https://www.englandrugby.com/follow/england-men/senior-men/calum-clark,,,,,,,,,,,not_found
Alex Corbisiero,alex-corbisiero,https://www.englandrugby.com/follow/england-men/senior-men/alex-corbisiero,,,,,,,,,,,not_found
Henry Thomas,henry-thomas,https://www.englandrugby.com/follow/england-men/senior-men/henry-thomas,,,,,,,,,,,not_found
Tom Croft,tom-croft,https://www.englandrugby.com/follow/england-men/senior-men/tom-croft,,,,,,,,,,,not_found
Dave Wilson,dave-wilson,https://www.englandrugby.com/follow/england-men/senior-men/dave-wilson,,,,,,,,,,,not_found
Kyle Eastmond,kyle-eastmond,https://www.englandrugby.com/follow/england-men/senior-men/kyle-eastmond,,,,,,,,,,,not_found
Freddie Burns,freddie-burns,https://www.englandrugby.com/follow/england-men/senior-men/freddie-burns,,,,,,,,,,,not_found
Robert Webber,robert-webber,https://www.englandrugby.com/follow/england-men/senior-men/robert-webber,,,,,,,,,,,not_found
Lee Dickson,lee-dickson,https://www.englandrugby.com/follow/england-men/senior-men/lee-dickson,,,,,,,,,,,not_found
Daniel Cipriani,daniel-cipriani,https://www.englandrugby.com/follow/england-men/senior-men/daniel-cipriani,,,,,,,,,,,not_found
Tom Johnson,tom-johnson,https://www.englandrugby.com/follow/england-men/senior-men/tom-johnson,,,,,,,,,,,not_found
Ben Foden,ben-foden,https://www.englandrugby.com/follow/england-men/senior-men/ben-foden,,,,,,,,,,,not_found
Joel Tomkins,joel-tomkins,https://www.englandrugby.com/follow/england-men/senior-men/joel-tomkins,,,,,,,,,,,not_found
Toby Flood,toby-flood,https://www.englandrugby.com/follow/england-men/senior-men/toby-flood,,,,,,,,,,,not_found
David Paice,david-paice,https://www.englandrugby.com/follow/england-men/senior-men/david-paice,,,,,,,,,,,not_found
Paul Doran-Jones,paul-doran-jones,https://www.englandrugby.com/follow/england-men/senior-men/paul-doran-jones,,,,,,,,,,,not_found
Stephen Myler,stephen-myler,https://www.englandrugby.com/follow/england-men/senior-men/stephen-myler,,,,,,,,,,,not_found
Thomas Waldrom,thomas-waldrom,https://www.englandrugby.com/follow/england-men/senior-men/thomas-waldrom,,,,,,,,,,,not_found
David Strettle,david-strettle,https://www.englandrugby.com/follow/england-men/senior-men/david-strettle,,,,,,,,,,,not_found
Tom Palmer,tom-palmer,https://www.englandrugby.com/follow/england-men/senior-men/tom-palmer,,,,,,,,,,,not_found
Daniel Care,daniel-care,https://www.englandrugby.com/follow/england-men/senior-men/daniel-care,,,,,,,,,,,not_found
Charlie Sharples,charlie-sharples,https://www.englandrugby.com/follow/england-men/senior-men/charlie-sharples,,,,,,,,,,,not_found
Bradley Barritt,bradley-barritt,https://www.englandrugby.com/follow/england-men/senior-men/bradley-barritt,,,,,,,,,,,not_found
Joe Gray,joe-gray,https://www.englandrugby.com/follow/england-men/senior-men/joe-gray,,,,,,,,,,,not_found
Chris Pennell,chris-pennell,https://www.englandrugby.com/follow/england-men/senior-men/chris-pennell,,,,,,,,,,,not_found
Christian Wade,christian-wade,https://www.englandrugby.com/follow/england-men/senior-men/christian-wade,,,,,,,,,,,not_found
Mouritz Botha,mouritz-botha,https://www.englandrugby.com/follow/england-men/senior-men/mouritz-botha,,,,,,,,,,,not_found
