url,match_id,competition,season,team,home_away,player,Tries,Metres,Carries,Defenders_Beaten,Clean_Breaks,Passes,Offloads,Turnovers_Conceded,Turnovers_Won,Points
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Fernandez,,32,8,,,10,2,4,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Videla,,14,8,2,,52,2,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Escobar,,27,6,1,,2,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Silva,,4,2,2,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Sigren,,17,7,1,1,5,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Eissmann,,,2,,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Saavedra,,16,6,,1,3,1,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Dittus,,1,5,,,3,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Bohme,,2,3,,,,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Lues,,4,2,1,,2,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Dussaillant,,3,2,,,,,2,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Lastra,,1,2,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Gurruchaga,,,,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Huete,,,1,,,2,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Orchard,,,1,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Martinez,,4,8,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Carvallo,,,,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/rwc23-england-chile#stats,102321,210,2024,Chile,away,Ayarza,,16,2,2,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Steward,1,67,8,3,,4,,1,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Nowell,,,,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Tuilagi,,25,5,1,1,1,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Farrell,,13,7,1,1,12,,1,,3
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,May,,88,9,3,2,4,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Smith,,37,5,2,1,20,,1,,7
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,van Poortvliet,,10,4,,,35,1,3,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Vunipola,,42,13,1,,6,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Curry,,18,5,3,,9,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Simmonds,,26,10,,,,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Hill,,6,6,,,6,,1,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Itoje,,13,6,,,6,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Sinckler,,6,7,2,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Cowan-Dickie,,20,6,1,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Genge,,14,7,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,George,,1,2,,,3,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Vunipola,,31,7,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Stuart,2,10,3,,,1,,,,10
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Ribbans,,11,4,1,,3,2,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Willis,,1,1,,,,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Youngs,,4,1,,,33,,,2,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Porter,,18,2,,,1,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,England,home,Slade,,32,3,,1,3,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Barrett,,17,5,3,,5,1,,,3
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Tele'a,,55,8,1,,2,1,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Ioane,1,98,7,2,,2,1,3,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Barrett,,17,9,3,,7,2,,,7
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Clarke,,42,5,2,3,2,,2,1,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Mo'unga,,45,11,8,1,10,1,3,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Smith,,4,2,,1,55,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Savea,,13,4,1,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Papali'i,1,60,4,1,1,1,,,,5
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Barrett,,3,3,1,,2,,,,
https://www.englandrugby.com/fixtures-and-results/match-centre/191122-england-new-zealand-autumn-match-centre#stats,930023,3,2023,N Zealand,away,Whitelock,,24,6,1,,2,,,,
